# ra_cadidates 	 dec_candidates
2.449336	0.007993
-1.840525	0.000677
0.389482	-0.198798
-1.928503	-0.050097
2.455088	-0.145159
0.292862	-0.166221
0.355216	-0.116405
1.357263	-0.020876
-2.368498	-0.120693
1.533591	-0.139717
0.995835	0.047462
1.468900	0.007330
-0.592151	-0.197148
-0.344393	-0.133507
-3.075479	-0.067246
-1.819550	-0.063703
-1.832260	-0.093400
0.702728	-0.010954
-1.872291	-0.181713
1.123244	-0.079936
1.864368	-0.036683
2.881103	-0.014639
2.141698	-0.031580
-0.412631	0.022873
1.229422	-0.179043
-1.575012	-0.130867
-2.330561	0.013391
2.971559	-0.059603
-1.185870	-0.039636
1.790452	0.006361
-0.122171	0.010763
-1.864879	0.053672
1.544499	-0.162307
2.015479	-0.136783
0.161215	-0.145320
0.647008	-0.143887
-0.112524	-0.201499
1.399093	0.030088
1.159983	0.024353
1.964658	-0.061468
2.425427	-0.194846
1.191421	-0.147761
-0.313091	0.052662
-0.434842	-0.050757
0.459641	0.014509
-0.235531	-0.067609
0.273774	-0.182875
-2.286078	-0.138151
-2.758448	-0.171575
-2.238831	-0.182936
2.706224	-0.068628
1.652776	-0.098995
0.372848	-0.154172
-2.755575	-0.141381
-1.662739	-0.146551
2.393996	-0.120139
0.394966	-0.127798
0.807746	-0.036134
-2.724122	0.064175
0.254975	-0.129859
2.168273	-0.172094
3.110397	-0.197403
3.016778	-0.039201
1.012193	-0.038563
-2.019444	0.013366
2.701209	-0.072220
-1.355405	-0.145840
2.966227	-0.071636
-0.299315	0.015242
-0.761753	-0.149159
0.364624	-0.138811
3.043814	-0.070646
1.120627	-0.197108
-1.950614	-0.145925
-0.100831	0.004716
2.241972	-0.020833
-1.576674	0.050661
-1.555726	-0.104234
-1.100857	-0.128244
3.047252	-0.094629
-0.286922	-0.197312
-0.719898	-0.071873
1.878817	-0.021519
-2.121575	-0.097955
-0.785231	0.011086
2.055204	-0.192645
1.791426	0.024347
-3.034778	-0.081078
-2.159571	0.006634
-1.441944	-0.127315
1.425718	0.011276
2.386516	-0.045149
-1.688027	-0.156262
-1.653806	-0.172701
-0.288104	-0.168375
-1.649084	-0.127692
1.648372	-0.147027
1.331981	-0.038887
-0.573020	0.030293
2.574247	-0.164223
-2.523922	-0.096212
-2.282667	-0.167902
0.877025	0.047300
0.796048	-0.147027
-2.285951	0.037294
1.535690	-0.201517
-1.118346	-0.156093
-0.073515	-0.045652
-1.582208	-0.027955
1.415432	-0.145212
-0.905487	-0.162375
-0.063241	-0.079586
0.413358	0.049343
-1.507652	-0.016801
1.096714	0.016697
-0.094011	-0.125414
-0.109093	0.013633
2.480560	-0.026327
0.091613	0.022992
-2.282946	-0.025774
1.834634	-0.099892
-2.589196	-0.145015
-2.100813	-0.064393
-1.823489	0.002290
2.986515	-0.176230
1.814603	-0.086311
-0.769302	-0.148795
1.692733	0.012639
-0.800103	-0.139422
-1.207231	-0.005469
0.752297	-0.164891
1.829258	-0.142856
1.948835	-0.010929
2.267938	-0.186013
0.174446	-0.078047
-1.983142	-0.118157
-0.837460	-0.025159
-2.000549	-0.025815
0.420541	-0.121979
-0.317299	-0.189076
1.389947	-0.116285
0.424743	-0.194520
1.490327	-0.119199
0.800829	-0.178671
1.164776	-0.196900
2.526121	-0.198663
-0.389939	-0.198717
1.319769	-0.198670
2.501281	-0.171138
-2.519491	-0.153565
-2.995952	-0.009843
2.331121	-0.037933
-1.289838	-0.050695
0.067034	0.010178
0.316720	-0.056276
0.321416	-0.148300
-2.894378	0.057554
-1.185118	0.020581
-0.212986	-0.201464
0.338476	-0.127747
-3.048102	-0.180104
2.481302	-0.139597
2.920699	0.026889
0.034232	0.011223
2.421003	-0.177793
-0.453255	-0.183954
1.717380	0.026326
0.678774	-0.162445
3.117870	-0.150598
1.855612	-0.035407
2.258640	-0.119138
1.669197	0.033568
0.701047	-0.148898
0.667745	-0.134419
2.395794	-0.182923
0.904963	0.044530
1.674046	-0.099326
1.273073	-0.039954
-1.094527	-0.175108
-1.284099	-0.092255
0.140317	0.017249
-0.212991	-0.157064
3.113305	-0.174399
-1.441908	-0.109811
-1.256335	-0.053173
-2.168710	0.032873
-3.025366	0.034323
1.594338	-0.150402
2.876431	-0.121450
1.077569	-0.020174
2.016908	-0.148528
-2.909866	-0.140390
0.908988	-0.077197
-0.224900	-0.160811
0.086138	-0.075881
1.606605	-0.156344
-0.197390	0.027130
1.303704	-0.152657
-0.688323	0.021895
-2.676914	-0.192497
1.093676	-0.019646
0.524243	-0.179536
0.173753	-0.077888
2.235848	-0.071566
-0.647230	0.011330
1.213010	0.006747
2.449565	-0.198411
2.114628	-0.166959
-0.572709	0.036294
0.194112	-0.111412
-2.278660	-0.065369
-0.358139	-0.006188
0.731373	-0.015362
-1.697645	-0.097668
0.277221	-0.097284
2.912361	-0.189731
-1.101043	0.041384
1.948807	-0.025985
2.137318	0.005392
0.672607	-0.074781
-2.024344	-0.140136
-1.691266	-0.024688
2.694986	-0.060534
-1.644475	-0.022359
-1.160571	-0.197983
1.503060	-0.126714
-0.856788	0.052680
2.937899	-0.144416
-1.313270	0.032536
0.404414	0.057068
0.842717	0.051583
1.255076	-0.179261
2.286322	-0.072291
-2.571858	0.019445
0.216378	0.041680
2.515625	-0.005539
-0.028377	-0.189762
1.790025	-0.190967
-2.243135	0.042351
1.174412	0.002541
-1.794465	-0.202102
-2.085189	-0.068160
1.373664	-0.175842
0.382713	-0.205906
1.211547	-0.146907
-0.038418	-0.000457
2.277985	0.051098
-2.710360	0.027753
-0.957069	-0.118388
-0.180229	-0.177891
0.110305	-0.024391
0.991625	-0.146409
-0.223252	-0.161806
1.664925	0.034965
1.104246	-0.119919
-2.797318	-0.028089
1.986238	-0.043532
2.774137	0.012932
-0.324501	-0.115819
-3.075708	-0.136543
1.657522	-0.113773
-0.201462	-0.126808
0.691408	-0.142663
0.106440	-0.052888
-2.637079	-0.027382
-2.604832	-0.185507
-1.760941	-0.180418
0.215728	0.004512
-0.721371	-0.161576
-1.761179	-0.023066
-2.692126	-0.005341
-2.901482	-0.204184
-0.253955	-0.050478
2.023308	-0.009512
-0.852108	-0.102857
2.713504	-0.152997
0.524654	0.031019
-1.781154	-0.046613
3.043523	0.048576
-2.257414	-0.134930
-0.437346	0.040958
1.708698	-0.027052
0.939697	-0.054896
1.753450	-0.165409
1.136946	0.025651
1.908521	-0.197535
2.855904	-0.077172
1.786739	-0.096016
-1.289688	0.035561
-1.999731	-0.194206
1.501411	0.043191
-0.243902	-0.200397
